name	is_useful	use_for_publication_words	auto_link
Adenosine Triphosphate	1	1	1
Adenoviridae	0	1	1
Adenoviridae Infections	1	1	1
Adenovirus Infections, Human	1	1	1
Aviadenovirus	0	1	1
Adenoviruses, Human	0	1	1
Adenoviruses, Simian	0	1	1
Adenylate Cyclase	1	1	1
Adenylate Kinase	1	1	1
Adenylosuccinate Lyase	1	1	1
Adenylosuccinate Synthase	1	1	1
Adenylyl Imidodiphosphate	1	1	1
Tissue Adhesions	1	1	1
Adhesiveness	0	1	1
Adhesives	1	0	0
Adie Syndrome	1	1	1
Adipic Acids	0	1	1
Adipose Tissue	1	1	1
Adiposis Dolorosa	1	1	1
Adjustment Disorders	1	1	1
Adjuvants, Immunologic	1	1	1
Adjuvants, Pharmaceutic	1	1	1
Administration, Buccal	1	1	1
Administration, Cutaneous	1	1	1
Administration, Inhalation	1	1	1
Administration, Intranasal	1	1	1
Administration, Intravaginal	1	1	1
Administration, Intravesical	1	1	1
Administration, Oral	1	1	1
Administration, Rectal	1	1	1
Administration, Sublingual	1	1	1
Administration, Topical	1	1	1
Administrative Personnel	0	0	0
Admitting Department, Hospital	0	1	1
Adnexa Uteri	1	1	1
Adnexal Diseases	1	1	1
Pelvic Inflammatory Disease	1	1	1
Adolescent	0	0	0
Adolescent Behavior	1	1	1
Adolescent Medicine	1	1	1
Adolescent Psychiatry	1	1	1
Adolescent Psychology	1	1	1
Adolescent, Hospitalized	0	0	0
Adolescent, Institutionalized	0	0	0
Adoption	0	0	0
Adosterol	0	1	1
Adrenal Cortex	1	1	1
Adrenal Cortex Diseases	1	1	1
Adrenal Cortex Function Tests	1	1	1
Adrenal Cortex Hormones	1	1	1
Adrenal Cortex Neoplasms	1	1	1
Adrenal Gland Diseases	1	1	1
Adrenocortical Hyperfunction	1	1	1
Adrenal Insufficiency	1	1	1
Adrenal Gland Neoplasms	1	1	1
Adrenal Glands	1	1	1
Congenital Adrenal Hyperplasia	1	1	1
Adrenal Medulla	1	1	1
Adrenal Rest Tumor	1	1	1
Adrenalectomy	1	1	1
Adrenergic alpha-Agonists	1	1	1
Adrenergic alpha-Antagonists	1	1	1
Adrenergic beta-Agonists	1	1	1
Adrenergic beta-Antagonists	1	1	1
Adrenergic Fibers	1	1	1
Adrenergic Agonists	1	1	1
Adrenochrome	0	1	1
Adrenocorticotropic Hormone	1	1	1
Adrenodoxin	1	1	1
Adrenoleukodystrophy	1	1	1
Adsorption	0	1	1
Adult	0	0	0
Advertising as Topic	0	0	0
Aedes	0	1	1
Aequorin	1	1	1
Aerobiosis	0	1	1
Aeromonas	0	1	1
Aerophagy	1	1	1
Aerosol Propellants	1	1	1
Aerosols	1	1	1
Aerospace Medicine	1	1	1
beta-Aminoethyl Isothiourea	0	1	1
Affect	1	0	0
Affective Disorders, Psychotic	1	1	1
Affective Symptoms	1	1	1
Afferent Loop Syndrome	1	1	1
Afferent Pathways	1	1	1
Affinity Labels	1	1	1
Afghanistan	0	0	0
Afibrinogenemia	1	1	1
Aflatoxins	0	1	1
Africa	0	0	0
Africa, Central	0	0	0
Africa, Eastern	0	0	0
Africa, Northern	0	0	0
Africa, Southern	0	0	0
Africa, Western	0	0	0
African Horse Sickness	1	1	1
African horse sickness virus	0	1	1
African Swine Fever	1	1	1
African Swine Fever Virus	0	1	1
Aftercare	1	1	1
Afterimage	1	1	1
Agammaglobulinemia	1	1	1
Agar	1	1	1
Agaricales	0	1	1
Agaricus	0	1	1
Age Determination by Skeleton	1	1	1
Age Determination by Teeth	1	1	1
Age Factors	0	1	1
Aged	0	0	0
Aged, 80 and over	0	0	0
Ageusia	1	1	1
Agglutination	1	1	1
Agglutination Tests	1	1	1
Agglutinins	1	1	1
Aggression	1	1	1
Aging	1	1	1
Agmatine	0	1	1
Agnosia	1	1	1
Agonistic Behavior	1	1	1
Agoraphobia	1	1	1
Agranulocytosis	1	1	1
Agraphia	1	1	1
Agricultural Workers' Diseases	1	1	1
Aid to Families with Dependent Children	0	1	1
AIDS-Related Complex	1	1	1
Ainhum	1	1	1
Air	1	0	0
Air Conditioning	0	1	1
Air Ionization	1	1	1
Air Microbiology	0	1	1
Air Movements	1	1	1
Air Pollutants	1	0	0
Air Pollutants, Occupational	1	1	1
Air Pollutants, Radioactive	1	1	1
Air Pollution	0	0	0
Air Pollution, Radioactive	0	1	1
Air Pressure	1	1	1
Air Sacs	0	1	1
Aircraft	0	0	0
Airway Obstruction	1	1	1
Airway Resistance	1	1	1
Ajmaline	0	1	1
Akinetic Mutism	1	1	1
AKR murine leukemia virus	0	1	1
Alabama	0	0	0
Alamethicin	1	1	1
Alanine	1	1	1
Alanine Transaminase	1	1	1
Alanine Racemase	1	1	1
Alanine-tRNA Ligase	1	1	1
Alaska	0	0	0
Albania	0	0	0
Alberta	0	0	0
Albinism	1	1	1
Albumins	1	1	1
Albuminuria	1	1	1
Albuterol	0	1	1
Alcaligenes	0	1	1
Alchemy	0	0	0
Alcian Blue	0	1	1
Alcohol Amnestic Disorder	1	1	1
Alcohol Dehydrogenase	1	1	1
Alcohol Deterrents	1	1	1
Alcohol Drinking	1	1	1
Alcohol Oxidoreductases	1	1	1
Alcohol Withdrawal Delirium	1	1	1
Ethanol	0	1	1
Methanol	0	1	1
1-Propanol	0	1	1
Alcoholic Beverages	0	1	1
Alcoholic Intoxication	1	1	1
Alcoholics Anonymous	0	1	1
Alcoholism	1	1	1
Alcohols	0	0	0
Pentanols	1	1	1
Butanols	1	1	1
Hexanols	1	1	1
Octanols	1	1	1
Alcuronium	0	1	1
Aldehyde Dehydrogenase	1	1	1
Aldehyde Oxidoreductases	1	1	1
Aldehyde-Lyases	1	1	1
Aldehydes	0	1	1
Aldicarb	0	1	1
Aldehyde Reductase	1	1	1
Aldosterone	1	1	1
Aldosterone Antagonists	1	1	1
Aldrin	0	1	1
Aleutian Mink Disease	1	1	1
Aleutian Mink Disease Virus	0	1	1
Medicago sativa	0	1	1
Algae	0	1	1
Cyanobacteria	0	1	1
Algae, Brown	0	1	1
Algae, Green	0	1	1
Algae, Red	0	1	1
Algeria	0	0	0
Algestone Acetophenide	0	1	1
Alginates	1	1	1
Algorithms	1	0	0
Alkadienes	0	1	1
Alkalies	0	0	0
Alkaline Phosphatase	1	1	1
Alkaloids	0	1	1
Alkalosis	1	1	1
Alkalosis, Respiratory	1	1	1
Alkanes	0	1	1
Alkaptonuria	1	1	1
Alkenes	0	1	1
Alkanesulfonates	0	1	1
Alkylating Agents	1	1	1
Alkylation	0	1	1
Alkylmercury Compounds	0	1	1
Alkynes	0	1	1
Allantoin	0	1	1
Allantois	1	1	1
Alleles	1	1	1
Allergens	0	1	1
Allergy and Immunology	1	0	0
Allethrin	0	1	1
Allied Health Personnel	0	0	0
Alligators and Crocodiles	0	1	1
Allophanate Hydrolase	1	1	1
Allopurinol	0	1	1
Allosteric Regulation	0	1	1
Allosteric Site	0	1	1
Alloxan	0	1	1
Alloys	1	0	0
Allyl Compounds	0	1	1
Allylamine	0	1	1
Allylestrenol	0	1	1
Allylglycine	1	1	1
Allylisopropylacetamide	0	1	1
Almanacs as Topic	0	0	0
Aloe	0	1	1
Alopecia	1	1	1
Alopecia Areata	1	1	1
Mucinosis, Follicular	1	1	1
Alouatta	0	1	1
alpha-Fetoproteins	1	1	1
Alpha-Globulins	1	1	1
alpha-Macroglobulins	1	1	1
Alpha Particles	0	1	1
Alpha Rhythm	1	1	1
alpha 1-Antichymotrypsin	1	1	1
alpha 1-Antitrypsin	1	1	1
alpha-Amylases	1	1	1
alpha-Chlorohydrin	0	1	1
Eflornithine	1	1	1
alpha-Galactosidase	1	1	1
alpha-Glucosidases	1	1	1
alpha-MSH	1	1	1
Alphaprodine	0	1	1
Algestone	0	1	1
Alphavirus	0	1	1
Alprazolam	0	1	1
Alprenolol	0	1	1
Alprostadil	1	1	1
Alternaria	0	1	1
Complementary Therapies	1	1	1
Alfaxalone Alfadolone Mixture	0	1	1
Altitude	1	1	1
Altitude Sickness	1	1	1
Altruism	1	1	1
Alum Compounds	0	1	1
Aluminum	0	1	1
Aluminum Hydroxide	0	1	1
Aluminum Oxide	0	1	1
Aluminum Silicates	0	1	1
Alveolar Process	1	1	1
Alveolar Ridge Augmentation	1	1	1
Alveolectomy	1	1	1
Extrinsic Allergic Alveolitis	1	1	1
Alveoloplasty	1	1	1
Alzheimer Disease	1	1	1
Amanita	0	1	1
Amanitins	1	1	1
Amantadine	0	1	1
Amaranth Dye	0	1	1
Ambenonium Chloride	0	1	1
Amblyopia	1	1	1
Ambroxol	0	1	1
Ambulances	0	0	0
Ambulatory Care	1	1	1
Ambulatory Care Facilities	0	1	1
Ambulatory Care Information Systems	0	0	0
Ambulatory Surgical Procedures	1	1	1
Ambystoma	0	1	1
Ambystoma mexicanum	0	1	1
Ambystomatidae	0	1	1
Amdinocillin	0	1	1
Amdinocillin Pivoxil	0	1	1
Amebiasis	1	1	1
Amebicides	1	1	1
Ameloblastoma	1	1	1
Ameloblasts	1	1	1
Amelogenesis	1	1	1
Amelogenesis Imperfecta	1	1	1
Amenorrhea	1	1	1
Americas	0	0	0
American Cancer Society	0	1	1
American Dental Association	0	1	1
American Heart Association	0	1	1
American Hospital Association	0	1	1
American Medical Association	0	1	0
American Nurses' Association	0	1	1
Americium	0	1	1
Amides	0	1	1
Amidines	0	1	1
Amidinotransferases	1	1	1
Amido Black	0	1	1
Amidohydrolases	1	1	1
Amidophosphoribosyltransferase	1	1	1
Amikacin	1	1	1
Amiloride	0	1	1
Aminacrine	0	1	1
Amination	0	1	1
Oxidoreductases Acting on CH-NH Group Donors	1	1	1
Amines	0	1	1
Amino Acid Chloromethyl Ketones	1	1	1
Amino Acid Isomerases	1	1	1
Amino Acid Metabolism, Inborn Errors	1	1	1
Amino Acid Oxidoreductases	1	1	1
Amino Acid Sequence	0	0	0
Amino Acids	1	1	1
Amino Acids, Branched-Chain	1	1	1
Amino Acids, Cyclic	1	1	1
Amino Acids, Diamino	1	1	1
Amino Acids, Dicarboxylic	1	1	1
Amino Acids, Essential	1	1	1
Amino Acids, Peptides, and Proteins	1	1	1
Amino Acids, Sulfur	1	1	1
Amino Acyl-tRNA Synthetases	1	1	1
Amino Alcohols	0	1	1
Amino Sugars	1	1	1
Aminoacetonitrile	0	1	1
Renal Aminoacidurias	1	1	1
Aminoacridines	0	1	1
Aminobenzoic Acids	0	1	1
Aminobiphenyl Compounds	0	1	1
4-Aminobutyrate Transaminase	1	1	1
Aminobutyric Acids	1	1	1
Aminocaproic Acids	1	1	1
Aminoethylphosphonic Acid	0	1	1
Aminoglutethimide	0	1	1
Aminoglycosides	1	1	1
Aminohippuric Acids	0	1	1
Aminohydrolases	1	1	1
Aminoimidazole Carboxamide	0	1	1
Aminoisobutyric Acids	1	1	1
Aminolevulinic Acid	1	1	1
Porphobilinogen Synthase	1	1	1
5-Aminolevulinate Synthetase	1	1	1
Aminooxyacetic Acid	0	1	1
Aminopeptidases	1	1	1
Aminophenols	0	1	1
Aminophylline	0	1	1
Aminopropionitrile	0	1	1
Aminopterin	0	1	1
Aminopyridines	0	1	1
Aminopyrine	0	1	1
Aminopyrine N-Demethylase	1	1	1
Aminoquinolines	0	1	1
Aminorex	0	1	1
Aminosalicylic Acids	0	1	1
Transaminases	1	1	1
Amiodarone	0	1	1
Amitriptyline	0	1	1
Amitrole	0	1	1
Ammonia	0	1	1
Ammonia-Lyases	1	1	1
Ammonium Chloride	0	1	1
Quaternary Ammonium Compounds	0	1	1
Ammonium Sulfate	0	1	1
Ammotherapy	1	1	1
Amnesia	1	1	1
Amnesia, Retrograde	1	1	1
Amniocentesis	1	1	1
Amnion	1	1	1
Amniotic Band Syndrome	1	1	1
Amniotic Fluid	1	1	1
Amobarbital	0	1	1
Amodiaquine	0	1	1
Amoeba	0	1	1
Amoxapine	0	1	1
Amoxicillin	0	1	1
AMP Deaminase	1	1	1
Amphetamine	0	1	1
Amphetamines	0	1	1
Amphibians	0	1	1
Amphibian Venoms	0	1	1
Ampholyte Mixtures	1	1	1
Amphotericin B	1	1	1
Ampicillin	0	1	1
Ampicillin Resistance	1	1	1
Amplifiers, Electronic	1	1	1
Amprolium	0	1	1
Amputation	1	1	1
Amputation Stumps	1	1	1
Amputation, Traumatic	1	1	1
Amputees	0	0	0
Ampyrone	0	1	1
Amrinone	0	1	1
Amsacrine	0	1	1
Amygdalin	1	1	1
Amygdala	1	1	1
Amyl Nitrite	0	1	1
Amylases	1	1	1
Amyloid	1	1	1
Serum Amyloid P-Component	1	1	1
Serum Amyloid A Protein	1	1	1
Amyloidosis	1	1	1
Amylopectin	1	1	1
Amylose	1	1	1
Amyotrophic Lateral Sclerosis	1	1	1
Anabasine	0	1	1
Anaerobiosis	0	1	1
Anal Gland Neoplasms	1	1	1
Anal Sacs	0	1	1
Central Nervous System Stimulants	1	1	1
Analgesia	1	1	1
Pain Insensitivity, Congenital	1	1	1
Analgesics	1	1	1
Analgesics, Opioid	1	1	1
Analog-Digital Conversion	0	0	0
Analysis of Variance	1	1	1
Anaphase	1	1	1
Anaphylatoxins	1	1	1
Anaphylaxis	1	1	1
Anaplasia	1	1	1
Anaplasma	0	1	1
Anaplasmataceae	0	1	1
Anaplasmataceae Infections	1	1	1
Anaplasmosis	1	1	1
Anastomosis, Roux-en-Y	1	1	1
Anastomosis, Surgical	1	1	1
Anatomy	0	1	0
Anatomy, Artistic	0	0	0
Anatomy, Comparative	0	1	1
Anatomy, Regional	0	1	1
Anatomy, Veterinary	0	1	1
Ancillary Services, Hospital	0	1	1
Ancrod	1	1	1
Ancylostoma	0	1	1
Ancylostomatoidea	0	1	1
Ancylostomiasis	1	1	1
Andorra	0	0	0
Androgen Antagonists	1	1	1
Androgen-Binding Protein	1	1	1
Androgens	1	1	1
Androstadienes	0	1	1
Androstanes	0	1	1
Androstanols	0	1	1
Androstatrienes	0	1	1
Androstenediols	0	1	1
Androstenedione	1	1	1
Androstenes	0	1	1
Androstenols	0	1	1
Androsterone	1	1	1
Anecdotes as Topic	0	0	0
Anaemia	1	1	1
Anemia, Aplastic	1	1	1
Anemia, Dyserythropoietic, Congenital	1	1	1
Anemia, Hemolytic	1	1	1
Anemia, Hemolytic, Autoimmune	1	1	1
Anemia, Hemolytic, Congenital	1	1	1
Anemia, Hemolytic, Congenital Nonspherocytic	1	1	1
Anemia, Hypochromic	1	1	1
Anemia, Macrocytic	1	1	1
Anemia, Megaloblastic	1	1	1
Anemia, Myelophthisic	1	1	1
Anemia, Neonatal	1	1	1
Anemia, Pernicious	1	1	1
Anemia, Refractory	1	1	1
Anemia, Refractory, with Excess of Blasts	1	1	1
Anemia, Sickle Cell	1	1	1
Anemia, Sideroblastic	1	1	1
Anencephaly	1	1	1
Anesthesia	1	1	1
Adjuvants, Anesthesia	1	1	1
Anesthesia and Analgesia	1	1	1
Anesthesia Department, Hospital	0	1	1
Anesthesia Recovery Period	1	1	1
Anesthesia, Caudal	1	1	1
Anesthesia, Closed-Circuit	1	1	1
Anesthesia, Conduction	1	1	1
Anesthesia, Dental	1	1	1
Anesthesia, Epidural	1	1	1
Anesthesia, General	1	1	1
Anesthesia, Inhalation	1	1	1
Anesthesia, Intratracheal	1	1	1
Anesthesia, Intravenous	1	1	1
Anesthesia, Local	1	1	1
Anesthesia, Obstetrical	1	1	1
Anesthesia, Rectal	1	1	1
Anesthesia, Spinal	1	1	1
Anesthesiology	1	1	1
Anaesthetics	1	1	1
Anesthetics, Dissociative	1	1	1
Anesthetics, Local	1	1	1
Anestrus	1	1	1
Anethole Trithione	0	1	1
Aneuploidy	1	1	1
Aneurysm	1	1	1
Aneurysm, Dissecting	1	1	1
Aneurysm, Infected	1	1	1
Anger	1	0	0
Angina Pectoris	1	1	1
Angina Pectoris, Variant	1	1	1
Unstable Angina	1	1	1
Angiocardiography	1	1	1
Angiography	1	1	1
Angioid Streaks	1	1	1
Angiokeratoma	1	1	1
Fabry Disease	1	1	1
Angiolymphoid Hyperplasia with Eosinophilia	1	1	1
Angiomatosis	1	1	1
Angioedema	1	1	1
Angioplasty, Balloon	1	1	1
Angiostrongylus	0	1	1
Angiotensin Amide	1	1	1
Angiotensin I	1	1	1
Angiotensin II	1	1	1
Angiotensin III	1	1	1
Angiotensin-Converting Enzyme Inhibitors	1	1	1
Angiotensinogen	1	1	1
Angiotensins	1	1	1
Angola	0	0	0
Anguilla	0	1	1
Anhydrides	0	1	1
Anilides	0	1	1
Aniline Compounds	0	1	1
Aniline Hydroxylase	1	1	1
Aniline Mustard	0	1	1
Anilino Naphthalenesulfonates	0	1	1
Animals	0	0	0
Animal Communication	1	1	1
Animal Diseases	0	1	1
Animal Feed	0	1	1
Animal Identification Systems	1	1	1
Animal Nutritional Physiological Phenomena	1	1	1
Animal Structures	0	1	1
Animal Testing Alternatives	1	1	1
Animal Welfare	0	0	0
Animal Population Groups	0	1	1
Animals, Domestic	0	0	0
Animals, Laboratory	0	1	1
Animals, Newborn	0	1	1
Animals, Poisonous	0	1	1
Animals, Suckling	0	1	1
Animals, Wild	0	1	1
Animals, Zoo	0	1	1
Anion Exchange Resins	1	1	1
Anions	0	1	1
Aniseikonia	1	1	1
Anisoles	0	1	1
Anisomycin	0	1	1
Ankle	1	1	1
Ankle Joint	1	1	1
Ankylosis	1	1	1
Annelida	0	1	1
Anniversaries and Special Events	0	0	0
Annual Reports as Topic	0	1	1
Anodontia	1	1	1
Anomia	1	1	1
Anomie	1	0	0
Anonyms and Pseudonyms	0	0	0
Anopheles	0	1	1
Anophthalmos	1	1	1
Anoplura	0	1	1
Anorexia	1	1	1
Anorexia Nervosa	1	1	1
Olfaction Disorders	1	1	1
Anovulation	1	1	1
Anoxia	1	1	1
Anserine	1	1	1
Ant Venoms	0	1	1
Antacids	1	1	1
Antarctic Regions	0	0	0
Antazoline	0	1	1
Antelopes	0	1	1
Anterior Chamber	1	1	1
Anterior Compartment Syndrome	1	1	1
Anterior Eye Segment	1	1	1
Anterior Horn Cells	1	1	1
Anthelmintics	1	1	1
Anthocyanins	1	1	1
Anthracenes	0	1	1
Anthracosilicosis	1	1	1
Anthralin	0	1	1
Anthramycin	0	1	1
Anthranilate Phosphoribosyltransferase	1	1	1
Anthranilate Synthase	1	1	1
Anthranilic Acids	0	1	1
Anthraquinones	0	1	1
Anthrax	1	1	1
Haplorhini	0	1	1
Anthropology	1	0	0
Anthropology, Cultural	0	0	0
Anthropology, Physical	0	0	0
Anthropometry	1	1	1
Anthroposophy	1	0	0
Antibodies, Anti-Idiotypic	1	1	1
Anti-Arrhythmia Agents	1	1	1
Anti-Infective Agents	1	1	1
Anti-Infective Agents, Local	1	1	1
Anti-Infective Agents, Urinary	1	1	1
Anti-Inflammatory Agents	1	1	1
Anti-Inflammatory Agents, Non-Steroidal	1	1	1
Anti-Ulcer Agents	1	1	1
Antibiosis	1	1	1
Aurodox	0	1	1
Anti-Bacterial Agents	1	0	0
Antibiotics, Antineoplastic	1	0	0
Antibiotics, Antitubercular	1	1	1
Antibodies	1	0	0
Antibodies, Bacterial	1	1	1
Antibodies, Fungal	1	1	1
Antibodies, Helminth	1	1	1
Antibodies, Heterophile	1	1	1
Antibodies, Monoclonal	1	1	1
Antibodies, Neoplasm	1	1	1
Antibodies, Protozoan	1	1	1
Antibodies, Viral	1	1	1
Antibody Affinity	1	1	1
Antibody Diversity	1	1	1
Antibody Formation	1	1	1
Antibody Specificity	1	1	1
Antibody-Coated Bacteria Test, Urinary	1	1	1
Antibody-Dependent Cell Cytotoxicity	1	1	1
Antibody-Producing Cells	1	1	1
Immunotoxins	1	1	1
Anticestodal Agents	1	1	1
Anticholesteremic Agents	1	1	1
Anticoagulants	1	1	1
Anticodon	1	1	1
Anticonvulsants	1	1	1
Antidepressive Agents	1	1	1
Antidepressive Agents, Tricyclic	1	1	1
Antidiarrheals	1	1	1
Antidotes	1	1	1
Antiemetics	1	1	1
Antifibrinolytic Agents	1	1	1
Antifoaming Agents	1	1	1
Antifungal Agents	1	1	1
Antigen-Antibody Complex	1	1	1
Antigen-Antibody Reactions	1	1	1
Antigen-Presenting Cells	1	1	1
Epitopes	0	1	1
Antigenic Variation	1	1	1
Antigens	0	1	1
Antigens, Bacterial	0	1	1
